user_id,date,feature_name,time_spent_sec,clicked_help,error_flag
1,2024-03-11,Grammar Tips,226,0,0
1,2024-01-10,Daily XP,141,0,0
1,2024-03-15,Achievements,79,0,0
1,2024-01-17,Stories,261,1,0
1,2024-01-06,Leaderboard,284,0,1
1,2024-03-26,Stories,191,1,0
1,2024-03-20,Daily XP,176,0,1
1,2024-01-23,Grammar Tips,100,0,1
1,2024-02-12,Grammar Tips,211,0,0
1,2024-01-21,Stories,28,1,0
1,2024-03-01,Daily XP,48,0,0
2,2024-02-14,Leaderboard,182,0,1
2,2024-01-04,Daily XP,150,1,0
2,2024-02-05,Stories,251,1,0
2,2024-03-23,Achievements,229,1,0
2,2024-01-04,Stories,135,1,1
2,2024-03-15,Leaderboard,67,0,0
2,2024-03-17,Grammar Tips,157,1,0
3,2024-02-25,Achievements,10,0,0
3,2024-03-14,Daily XP,199,1,0
3,2024-03-31,Grammar Tips,200,0,1
3,2024-02-16,Grammar Tips,126,0,0
3,2024-03-20,Leaderboard,143,0,0
3,2024-03-05,Leaderboard,67,1,0
3,2024-02-21,Leaderboard,53,0,1
3,2024-02-23,Grammar Tips,182,0,0
3,2024-02-21,Achievements,169,0,0
3,2024-02-06,Daily XP,182,1,0
3,2024-02-29,Grammar Tips,158,1,1
3,2024-03-06,Grammar Tips,89,0,0
4,2024-02-06,Achievements,222,1,0
4,2024-01-31,Leaderboard,212,0,1
4,2024-01-19,Stories,261,0,1
4,2024-03-01,Achievements,238,0,0
4,2024-02-23,Achievements,173,0,0
4,2024-03-04,Grammar Tips,236,0,1
4,2024-03-24,Stories,156,0,0
4,2024-01-29,Daily XP,29,1,0
4,2024-03-12,Daily XP,56,0,0
4,2024-01-18,Grammar Tips,242,1,0
5,2024-03-19,Achievements,23,1,0
5,2024-01-21,Grammar Tips,152,1,0
5,2024-02-01,Leaderboard,10,1,1
5,2024-02-05,Grammar Tips,63,0,0
5,2024-01-31,Leaderboard,268,1,0
6,2024-03-10,Stories,21,0,1
6,2024-01-30,Grammar Tips,233,0,1
6,2024-01-09,Grammar Tips,281,1,0
6,2024-03-10,Grammar Tips,165,1,0
6,2024-01-27,Grammar Tips,17,1,0
6,2024-03-14,Grammar Tips,131,1,0
6,2024-02-15,Leaderboard,173,1,0
6,2024-03-09,Achievements,99,0,0
6,2024-01-29,Leaderboard,145,1,0
6,2024-01-04,Grammar Tips,195,1,0
6,2024-01-22,Grammar Tips,187,0,0
7,2024-02-20,Achievements,50,0,0
7,2024-03-23,Grammar Tips,237,0,0
7,2024-01-24,Stories,201,1,0
7,2024-02-11,Daily XP,154,1,0
7,2024-02-13,Grammar Tips,210,1,0
7,2024-02-02,Stories,221,1,0
7,2024-03-10,Stories,229,1,1
7,2024-03-24,Stories,249,0,0
7,2024-02-01,Daily XP,55,0,1
8,2024-01-31,Daily XP,262,1,0
8,2024-03-13,Daily XP,91,1,0
8,2024-02-17,Daily XP,265,0,1
8,2024-02-09,Stories,206,0,0
8,2024-03-14,Grammar Tips,19,1,1
8,2024-01-10,Achievements,295,0,0
8,2024-03-30,Leaderboard,251,0,0
9,2024-02-14,Achievements,128,1,0
9,2024-01-09,Achievements,298,1,0
9,2024-02-23,Grammar Tips,74,0,0
9,2024-02-16,Grammar Tips,155,0,0
9,2024-01-23,Achievements,233,1,0
9,2024-02-29,Grammar Tips,248,1,0
9,2024-02-01,Stories,186,1,0
9,2024-02-01,Grammar Tips,276,1,0
9,2024-01-04,Grammar Tips,291,1,1
10,2024-03-03,Daily XP,292,1,0
10,2024-02-13,Leaderboard,186,1,0
10,2024-03-07,Daily XP,107,0,1
10,2024-02-22,Grammar Tips,114,0,0
10,2024-03-23,Grammar Tips,108,1,0
10,2024-01-12,Leaderboard,15,0,0
10,2024-03-29,Daily XP,206,1,0
10,2024-03-01,Achievements,142,1,0
10,2024-03-11,Leaderboard,268,1,0
10,2024-02-04,Leaderboard,32,1,1
10,2024-01-16,Daily XP,62,1,0
10,2024-03-09,Daily XP,174,0,1
10,2024-03-02,Leaderboard,211,1,0
11,2024-01-25,Leaderboard,92,0,0
11,2024-01-23,Leaderboard,154,0,1
11,2024-02-05,Stories,94,0,0
11,2024-03-30,Daily XP,87,1,0
11,2024-01-02,Achievements,10,1,0
11,2024-03-02,Grammar Tips,60,1,1
11,2024-01-07,Leaderboard,182,1,0
11,2024-01-09,Grammar Tips,214,1,0
11,2024-03-14,Stories,269,0,1
11,2024-03-13,Leaderboard,297,0,1
11,2024-01-16,Achievements,43,1,1
11,2024-03-07,Grammar Tips,104,1,0
11,2024-02-08,Achievements,81,1,0
11,2024-03-13,Achievements,48,0,0
12,2024-01-27,Daily XP,259,1,0
12,2024-01-21,Daily XP,171,0,0
12,2024-01-21,Stories,127,1,0
12,2024-03-29,Achievements,268,1,0
12,2024-01-05,Daily XP,277,1,0
12,2024-03-30,Grammar Tips,63,0,1
12,2024-02-03,Achievements,245,0,0
12,2024-01-15,Achievements,231,0,1
12,2024-02-04,Daily XP,260,0,0
12,2024-01-22,Leaderboard,121,1,0
12,2024-01-16,Grammar Tips,264,1,0
12,2024-02-04,Achievements,216,1,0
12,2024-01-11,Achievements,238,0,0
12,2024-02-11,Achievements,75,1,0
13,2024-01-12,Daily XP,112,0,0
13,2024-03-14,Stories,201,0,0
13,2024-03-07,Grammar Tips,261,1,1
13,2024-03-15,Grammar Tips,235,1,0
13,2024-03-01,Leaderboard,107,1,0
13,2024-02-11,Stories,295,0,0
13,2024-02-22,Grammar Tips,258,1,0
14,2024-03-11,Stories,39,1,0
14,2024-02-10,Leaderboard,256,1,0
14,2024-02-21,Achievements,115,0,0
14,2024-02-22,Stories,60,0,0
14,2024-03-20,Grammar Tips,90,1,0
14,2024-01-27,Leaderboard,142,0,0
